waypoint,notes,depth_m,wkt
2,mouth of inlet,0.8,POINT (411658.7 5084501)
3,NA,0.9,POINT (411630.3 5084560)
5,NA,0.8,POINT (411553.4 5084601)
6,NA,0.8,POINT (411476.4 5084600)
8,NA,1.4,POINT (411466.8 5084488)
10,NA,0.6,POINT (411466.4 5084410)
12,NA,1.4,POINT (411379.1 5084490)
16,NA,0.8,POINT (411321.2 5084721)
17,NA,1.4,POINT (411292.9 5084670)
19,NA,1.5,POINT (411290.8 5084593)
20,NA,1.5,POINT (411286.8 5084534)
24,NA,1.2,POINT (411272.2 5084333)
25,NA,1.5,POINT (411244.6 5084420)
27,NA,1.6,POINT (411220.3 5084500)
29,NA,1.7,POINT (411205.4 5084575)
34,NA,0.8,POINT (411135 5084777)
36,NA,1.8,POINT (411133.2 5084691)
43,NA,1.7,POINT (411152.6 5084482)
45,NA,1.5,POINT (411154.7 5084373)
48,reeds,1,POINT (411154.6 5084261)
50,NA,1.4,POINT (411103.3 5084304)
54,NA,1.8,POINT (411070 5084514)
57,NA,1.6,POINT (411050.3 5084650)
60,reeds,0.8,POINT (411013.1 5084729)
64,NA,1.6,POINT (410984.1 5084611)
66,NA,1.8,POINT (410987.4 5084547)
69,NA,1.7,POINT (410983.4 5084432)
72,NA,1.2,POINT (410996.3 5084224)
74,NA,1,POINT (410964.5 5084174)
76,NA,1.5,POINT (410922.6 5084297)
80,NA,1.8,POINT (410898.9 5084471)
84,reeds,0.8,POINT (410865 5084553)
88,NA,1.7,POINT (410831.3 5084429)
90,NA,1.6,POINT (410822.1 5084354)
95,NA,1.1,POINT (410762.5 5084128)
97,NA,1.6,POINT (410698.6 5084208)
99,NA,1.5,POINT (410657.4 5084300)
101,NA,0.8,POINT (410576.1 5084296)
106,NA,0.8,POINT (410597 5084109)
108,NA,1.6,POINT (410514.7 5084118)
110,NA,1.4,POINT (410451.8 5084191)
112,NA,1.1,POINT (410351.5 5084275)
115,NA,0.8,POINT (410279.3 5084316)
116,NA,0.9,POINT (410278.7 5084279)
118,NA,1.3,POINT (410335.9 5084128)
120,NA,1.3,POINT (410402.4 5084002)
121,NA,1.3,POINT (410501.7 5083874)
124,NA,0.9,POINT (410574.1 5083776)
125,NA,1.2,POINT (410504.6 5083769)
127,NA,1.3,POINT (410383.4 5083843)
129,NA,1.3,POINT (410283.1 5083930)
131,NA,1,POINT (410200.6 5083990)
133,NA,0.9,POINT (410165.7 5083937)
135,NA,1.2,POINT (410242.8 5083814)
136,NA,1.2,POINT (410276.4 5083739)
137,NA,1.3,POINT (410303.7 5083641)
139,NA,1,POINT (410384 5083451)
141,NA,0.8,POINT (410379.3 5083382)
144,NA,1.1,POINT (410245 5083519)
149,NA,0.9,POINT (410089.9 5083583)
150,NA,1,POINT (410116.6 5083521)
153,NA,0.9,POINT (410168.4 5083377)
158,NA,0.8,POINT (410017.6 5083376)
159,NA,0.8,POINT (409967.1 5083354)
